"Test Case ID","Module","Scenario","Steps","Expected Result","Priority","Severity","Status","QA Notes","Bug ID","Retest Status","Tested By","Test Date"
"TC-API-005","API Failure","Sampling save failure preserves form for retry","1. Fill sampling form with valid data | 2. Drop network connection | 3. Tap Submit","Error shown; form values preserved; user can retry; no silent failure or data loss","P2","S3","","","","","",""
"TC-API-006","API Failure","Payment order creation failure prevents Razorpay from opening","1. Configure create-razorpay-order edge function to return 500 | 2. Tap Upgrade button","Error shown to user; Razorpay checkout NOT opened; user stays on FREE; no invalid order created","P2","S2","","","","","",""
"TC-NAV-001","Navigation","Bottom nav preserves tab and scroll position","1. Navigate to Pond Dashboard Feed tab and scroll to bottom | 2. Tap Home bottom nav | 3. Tap Ponds bottom nav","Returns to Feed tab at scroll position; not reset to Overview tab; Riverpod state persisted","P1","S3","","","","","",""
"TC-NAV-002","Navigation","Deep back-stack navigates Home through all levels","1. Navigate Home to Pond to Feed Schedule to Feed History | 2. Press Back button 3 times","Navigates: History to Schedule to Dashboard to Home; no crash; no duplicate screens; rapid presses safe","P1","S2","","","","","",""
"TC-NAV-003","Navigation","Pond dashboard reflects edits immediately without restart","1. Navigate to Edit Pond | 2. Change seed count 150K to 120K | 3. Save | 4. Return to Dashboard","Updated seed count visible immediately; feed recommendation recalculates; no stale data shown","P1","S2","","","","","",""
"TC-NAV-004","Navigation","Tray wizard mid-flow exit requires discard confirmation","1. Open tray log wizard | 2. Log Tray 1 as Empty | 3. Press Back button on Tray 2 step","Confirmation dialog: Discard? Confirm = wizard closes no data saved; Cancel = stay on Tray 2","P2","S2","","","","","",""
"TC-NAV-005","Navigation","Logout clears all user state before next user session","1. Log in as User A | 2. Navigate around app | 3. Log out | 4. Log in as User B","User B sees only their farms and ponds; User A data not visible; Riverpod fully reset","P2","S1","","","","","",""
"TC-PERF-001","Performance","Cold launch time under 3 seconds on mid-range Android","1. Force-close app (user is logged in) | 2. Tap app icon | 3. Measure time until HomeScreen visible with data","Cold launch < 3s on mid-range Android (4GB RAM); no blank screen longer than 1s; splash visible while loading","P1","S3","","","","","",""
"TC-PERF-002","Performance","Feed engine calculation completes within 500ms","1. Pond: 1M seed DOC=60 all smart corrections active | 2. Navigate to Feed tab | 3. Measure render time","Recommendation visible within 500ms; no ANR dialog; no visible UI jank; pure Dart calculation","P1","S2","","","","","",""
"TC-PERF-003","Performance","720-row feed history loads without OOM crash","1. Pond at DOC=180 with all 4 daily rounds logged (720 feed_log rows) | 2. Open Feed History | 3. Scroll","Screen loads in under 2s; smooth 60fps scrolling; no out-of-memory crash on 2GB RAM device","P2","S3","","","","","",""
"TC-PERF-004","Crash Risk","No crash with completely empty Riverpod providers","1. New user account with no farms and no ponds | 2. Navigate through all screens and tap all quick actions","No crash; no null pointer exceptions; correct empty state shown on every screen","P0","S1","","","","","",""
"TC-PERF-005","Crash Risk","Rapid screen switching causes no memory leak","1. Switch between Home Ponds Profile tabs 20 times in 10 seconds | 2. Navigate in and out of Pond Dashboard 10 times","No setState-called-on-disposed-widget errors in console; memory usage stable; no crash","P1","S2","","","","","",""
"TC-PERF-006","Crash Risk","NaN input to feed engine produces valid output","1. Inject NaN as DO value into feed engine inputs via debug mode | 2. Observe recommendation","FeedInputValidator catches NaN; safe default DO=6.0 applied; valid numeric recommendation returned; no crash","P1","S1","","","","","",""
"TC-PERF-007","Crash Risk","DB timeout produces error state with retry option","1. Simulate Supabase response delay over 30 seconds | 2. Open HomeScreen","NetworkTimeoutService fires; error state shown with Retry button; no infinite spinner; no crash","P2","S2","","","","","",""
"TC-REG-001","Regression","Feed brand UUID stored correctly after pond creation (commit fb31b3e)","1. Create pond with Feed Brand selected from dropdown | 2. Save | 3. View pond dashboard","feed_brand_id stored as UUID not null not TEXT; correct brand name shown on dashboard","P0","S1","","","","","",""
"TC-REG-002","Regression","Feed round cards visible immediately post-creation without restart (commit 8c4fe6c)","1. Create new pond | 2. Immediately navigate to Feed tab without app restart","30 feed_rounds visible in schedule; no empty state; feedScheduleProvider invalidated on pond creation","P0","S1","","","","","",""
"TC-REG-003","Regression","Seed count max enforced at 500K not 10M (BUG-12)","1. Enter seed count = 600000 | 2. Submit Add Pond form","Validation error: must be 1000 to 500000; form blocked; confirms BUG-12 fix not regressed","P0","S2","","","","","",""
"TC-REG-004","Regression","Feed history updates immediately post-completion (BUG-5)","1. Complete a feed round | 2. Navigate to Feed History immediately without restart","New entry visible; feedHistoryProvider invalidated on round completion; no manual refresh needed","P1","S2","","","","","",""
"TC-REG-005","Regression","Tray logging triggers feed pipeline as expected (TASK-2)","1. PRO user DOC > 30 | 2. Submit tray statuses via wizard | 3. Navigate to Feed tab","Feed recommendation reflects tray signal; AppLogger debug confirms TRAY LOGGED trigger chain active","P1","S2","","","","","",""
"TC-INT-001","Integration","Complete daily farming workflow runs end-to-end","1. DOC=45 PRO pond with fresh water log and ABW sample | 2. Check Overview KPIs | 3. Read recommendation | 4. Complete all 4 rounds | 5. Log tray | 6. View Feed History","All 4 rounds logged; KPIs consistent across tabs; tray signal reflected in tomorrow recommendation","P0","S1","","","","","",""
"TC-INT-002","Integration","Full crop cycle from stocking through harvest to new cycle","1. Create pond | 2. Advance to DOC=91 via DB | 3. Log ABW sample | 4. Log Final Harvest (5000 kg) | 5. Start New Cycle | 6. Confirm DOC=1","Full lifecycle completes; harvest saved; new cycle starts at DOC=1; old harvest preserved in DB","P0","S1","","","","","",""
"TC-INT-003","Integration","Offline sync handles multiple ponds without contamination","1. Offline: Complete Round 1 for Pond A and Round 2 for Pond B | 2. Reconnect to network | 3. Verify DB","Both operations sync; correct feed_log rows per pond; no cross-pond rows; queue cleared for both","P1","S1","","","","","",""
"TC-INT-004","Integration","Active supplement schedule integrates with feed round display","1. Supplement: Probiotics active at Round 2 every day | 2. Navigate to Pond Dashboard Feed tab Round 2","Supplement chip visible on Round 2; applied on completion; supplement_schedule_logs updated","P1","S2","","","","","",""
"TC-INT-005","Integration","Profit calculation correct across expense and harvest modules","1. Expenses: 105000 total (feed + labor + misc) | 2. Harvest: 3000 kg x 200 per kg | 3. View Profit Summary","Profit = 495000; cost per kg = 35; margin = 82.5%; expenses and harvest scoped to same crop_id","P1","S2","","","","","",""
